"ATLAS","score"
"44001004036",3
"44001004111",3
"44001004006",2
"44001004108",3
"44001004148",2
"44001004063",1
"44001004024",1
"44001004160",1
"44001004168",2
"44001004182",1
"44001004173",1
"44001004153",1
"44001004102",1
"44001004177",1
"44001004057",3
"44001004047",2
"44001004164",1
"44001004045",1
"44001004109",2
"44001004134",5
"44001004156",2
"44001004147",3
"44001004026",6
"44001004101",4
"44001004094",5
"44001004060",3
"44001004103",9
"44001004095",0
"44001004158",3
"44001004113",5
"44001004157",7
"44001004077",3
"44001004178",2
"44001004162",1
"44001004030",2
"44001004139",3
"44001004127",2
"44001004131",0
"44001004114",1
"44001004116",4
"44001004112",1
"44001004002",2
"44001004083",1
"44001004071",1
"44001004175",1
"44001004135",2
"44001004052",3
"44001004097",2
"44001004067",5
"44001004080",3
